date,market_cap,total_volume
2014-07-06,8479384308,15349481.41
2014-07-07,8348977483,25639131.12
2014-07-08,8370992735,13170524.02
2014-07-09,8375446032,13524435.96
2014-07-10,8307747001,18016864.76
2014-07-11,8513163389,19000625.82
2014-07-12,8575652079,20952679.97
2014-07-13,8502589142,17855864.79
2014-07-14,8371716728,2651049615
2014-07-15,8381742843,15145178.76
2014-07-16,8307924507,19319119.47
2014-07-17,8441419837,19819577.73
2014-07-18,8544256653,19513100.61
2014-07-19,8523924258,13545656.61
2014-07-20,8447949028,6609129.381
2014-07-21,8441747797,9936381.222
2014-07-22,8430964551,9079549.832
2014-07-23,8423313463,10633392.94
2014-07-24,8164999671,28784442.82
2014-07-25,8172410122,23924683.93
2014-07-26,8084957120,12976234.71
2014-07-27,8047484377,11343999.94
2014-07-28,7976178911,25498306.35
2014-07-29,7931575578,13199813.53
2014-07-30,7636873007,20863348.89
2014-07-31,7949153914,27149751.37
2014-08-01,8097381215,25323328.33
2014-08-02,8024612446,10624132.51
2014-08-03,7988637830,10195253.66
2014-08-04,7992267863,12942811.88
2014-08-05,7937233326,14731381.67
2014-08-06,7954209057,14187292.6
2014-08-07,8007705450,15729532.56
2014-08-08,8056622406,14405925.67
2014-08-09,8016360555,11011804.73
2014-08-10,8021117926,10116800.14
2014-08-11,7797018383,22929455.02
2014-08-12,7707465482,22200065.93
2014-08-13,7377548899,44678048.56
2014-08-14,6854088865,52095396.41
2014-08-15,6702545492,34335622.43
2014-08-16,7079694044,30132530.42
2014-08-17,6712394462,32607223.14
2014-08-18,6227727623,69441768.56
2014-08-19,6589956697,54997015.84
2014-08-20,7017657729,66940487.51
2014-08-21,7045134209,57879942.61
2014-08-22,7032279686,41082396.82
2014-08-23,6766715519,28326267.57
2014-08-24,6940425472,26401264.1
2014-08-25,6828088471,19920206.98
2014-08-26,7079424532,26953487.59
2014-08-27,7076117346,28415563.52
2014-08-28,7028407063,22592592.17
2014-08-29,7049383155,18721903.4
2014-08-30,6957807877,13101664.06
2014-08-31,6663095101,49608862.19
2014-09-01,6608427216,21791435.51
2014-09-02,6587083883,24705868.14
2014-09-03,6597673269,16050963.31
2014-09-04,6810946085,27829073.75
2014-09-05,6683890221,16294866.67
2014-09-06,6717020949,12121172.49
2014-09-07,6696542837,10447920.01
2014-09-08,6568783370,31257994.84
2014-09-09,6581291022,22774368.19
2014-09-10,6663111249,25687558.83
2014-09-11,6661388667,18951366
2014-09-12,6623728592,15979847.99
2014-09-13,6665449073,17130077.63
2014-09-14,6668242082,17086400.26
2014-09-15,6637299216,17811758.32
2014-09-16,6497154718,20291258.85
2014-09-17,6403102026,29466529.78
2014-09-18,5977085623,55979171.54
2014-09-19,5554887356,53286047.36
2014-09-20,5753051872,54669341.52
2014-09-21,5586836813,36564705.79
2014-09-22,5617007074,27049933.92
2014-09-23,6107593506,63230843.07
2014-09-24,5939595046,36978462.02
2014-09-25,5766296482,35852298.28
2014-09-26,5701793643,30468571.91
2014-09-27,5634267418,20592734.56
2014-09-28,5353953951,33798291
2014-09-29,5299558220,40579858.42
2014-09-30,5499179216,37837205.38
2014-10-01,5410670443,28346553.55
